FIPS,Chlamydia Rate per 100000
48169,320.4
29073,292.9
37071,705.7
37073,337.3
20061,869.5
39055,159.7
16045,261.6
26049,653.8
36037,271.4
01061,437.2
29075,106.1
28039,464.5
45043,666.9
18051,342.2
47053,630.5
04007,410.8
12041,262.5
47055,495.8
51071,107.1
48171,221
41021,158.5
13123,204.3
54021,177.3
08047,65.4
30035,1308.9
12043,474.9
26051,181.6
13125,235.1
48173,215.7
06021,418.4
34015,384.5
51073,385.6
13127,814.4
26053,152.2
30037,121.7
38033,397.1
48175,276.8
48177,385
51075,206.7
27049,257
16047,291.1
13129,312.3
56015,391.2
31073,0
20063,76.6
13131,500.5
40051,360.7
33009,297.7
04009,431.6
20065,0
37075,200.9
47057,242
08049,161.2
49019,206.5
38035,587
50013,168.8
26055,292.9
30039,207.7
05053,220
18053,602.7
20067,452.4
21081,287.3
27051,150.3
38037,85
31075,0
35017,567.7
40053,115.7
41023,292.3
46051,168.9
53025,393.1
55043,301.3
54023,120.4
22043,575
37077,761.9
26057,310.3
21083,308.2
20069,131.7
48179,285.7
53027,390.2
21085,308.1
48181,346.1
51077,204.7
20071,162.7
31077,212.3
21087,181.9
55045,246.5
55047,228.1
54025,132.2
01063,1218.2
05055,496.3
13133,422.9
19073,245.4
17061,176
18055,293.2
29077,775.8
28041,393
37079,796
36039,308.1
39057,448.5
42059,390.1
47059,316.6
51079,299.6
04011,508
51081,594.8
21089,169.8
45045,545.3
20073,349.4
45047,723.8
40055,378.4
48183,723.7
46053,167.1
28043,867.3
38039,314.2
48185,381.7
19075,211.9
17063,237.4
29079,300.8
47061,134.9
35019,692.2
48187,265.2
72057,206.2
72059,107.3
72061,167.1
39059,512.7
37081,965.1
12045,303.5
08051,273.8
72063,167.2
19077,270.5
72055,115.9
13135,427.1
46055,105.2
13137,357
02100,40.2
01065,1512
48189,535.2
37083,967.7
51083,485.6
13139,356.3
31079,328
48191,363.6
47063,297.1
12047,680.1
19079,275.4
17065,122.7
18057,228
20075,346.2
31081,118.8
36041,90.3
39061,852.8
47065,615.2
48193,188.7
46057,247.1
25013,613.4
25015,320.8
54027,132.7
51650,1143.5
45049,692.6
13141,645.3
19081,261.4
17067,157.1
18059,307.3
21091,171.7
23009,230.2
28045,359.6
39063,321.4
47067,213.4
54029,161.6
46059,30.9
51085,304.1
48195,182.8
46061,148.6
13143,304.5
12049,390.2
47069,728
48197,534.5
19083,342.4
17069,128.4
21093,531.4
39065,283.3
47071,334.7
48199,204.9
35021,307.7
46063,239.6
54031,130.8
24025,383.2
21095,155.8
31083,29.5
40057,334.4
37085,565
41025,246.8
20077,308.6
40059,214.6
13145,335.6
48201,585.8
19085,361.6
18061,179
21097,218.3
29081,238.3
28047,656.4
39067,217.6
48203,429.5
54033,139.3
51660,746
13147,326
21099,232.8
09003,544.3
48205,17.8
20079,345.2
20081,350.9
40061,237.4
48207,193
72065,121.1
15001,343.9
47073,278.6
31085,218.1
48209,534.8
37087,269.8
47075,1026.1
13149,353.8
48211,182.1
05057,922.3
17071,194.1
21101,402.1
