"cnty_fips","display_name","Value","theme_range"
48131,"""Duval, (TX)""",39.1,"38.3 - 41.8 (622)"
48135,"""Ector, (TX)""",31,"18.7 - 32.7 (646)"
48137,"""Edwards, (TX)""",42.7,"41.9 - 56.9 (624)"
48141,"""El Paso, (TX)""",30.9,"18.7 - 32.7 (646)"
48145,"""Falls, (TX)""",41.3,"38.3 - 41.8 (622)"
48149,"""Fayette, (TX)""",40.9,"38.3 - 41.8 (622)"
48157,"""Fort Bend, (TX)""",32,"18.7 - 32.7 (646)"
48161,"""Freestone, (TX)""",42.3,"41.9 - 56.9 (624)"
48163,"""Frio, (TX)""",33.1,"32.8 - 35.7 (637)"
48167,"""Galveston, (TX)""",34.8,"32.8 - 35.7 (637)"
48171,"""Gillespie, (TX)""",41.4,"38.3 - 41.8 (622)"
48173,"""Glasscock, (TX)""",35.2,"32.8 - 35.7 (637)"
48175,"""Goliad, (TX)""",40.1,"38.3 - 41.8 (622)"
48177,"""Gonzales, (TX)""",39.7,"38.3 - 41.8 (622)"
48185,"""Grimes, (TX)""",40.9,"38.3 - 41.8 (622)"
48187,"""Guadalupe, (TX)""",33.2,"32.8 - 35.7 (637)"
48193,"""Hamilton, (TX)""",41.3,"38.3 - 41.8 (622)"
48199,"""Hardin, (TX)""",36.3,"35.8 - 38.2 (613)"
48201,"""Harris, (TX)""",31,"18.7 - 32.7 (646)"
48209,"""Hays, (TX)""",27.6,"18.7 - 32.7 (646)"
48215,"""Hidalgo, (TX)""",33.6,"32.8 - 35.7 (637)"
48217,"""Hill, (TX)""",39.6,"38.3 - 41.8 (622)"
48225,"""Houston, (TX)""",45,"41.9 - 56.9 (624)"
48229,"""Hudspeth, (TX)""",38.2,"35.8 - 38.2 (613)"
48235,"""Irion, (TX)""",38.6,"38.3 - 41.8 (622)"
48239,"""Jackson, (TX)""",37.4,"35.8 - 38.2 (613)"
48241,"""Jasper, (TX)""",41.1,"38.3 - 41.8 (622)"
48243,"""Jeff Davis, (TX)""",44.1,"41.9 - 56.9 (624)"
48245,"""Jefferson, (TX)""",40.4,"38.3 - 41.8 (622)"
48247,"""Jim Hogg, (TX)""",38.5,"38.3 - 41.8 (622)"
48249,"""Jim Wells, (TX)""",36.6,"35.8 - 38.2 (613)"
48255,"""Karnes, (TX)""",35.7,"32.8 - 35.7 (637)"
48259,"""Kendall, (TX)""",34.7,"32.8 - 35.7 (637)"
48261,"""Kenedy, (TX)""",41.7,"38.3 - 41.8 (622)"
48265,"""Kerr, (TX)""",41,"38.3 - 41.8 (622)"
48267,"""Kimble, (TX)""",43.4,"41.9 - 56.9 (624)"
